school,department,dept,Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
School of Arts and Sciences,Department of Performing Arts,PERF,0.228424539572343,0.0564404940971368,0.053997327701325,0.0114412088812161,0.0592377631570547,0.0429285506497937,0.00875497548064097,0.00742929034250171,0.0420300148476864,0.00712910580234799,0.0235566612327623,0.103264623863882,0.0185017825451756,0.0100268795946689,0.125819894884818,0.0057855404322527,0.0347823080618781,0.0215166538880101,0.0197482577603225,0.119184127204184
School of Arts and Sciences,Department of Performing Arts,THTR,0.13679976981222,0.0269393676025611,0.0947081991909412,0.00326047271704021,0.0750102072434312,0.0563002296108335,0.0166775270395225,0.00232804905953602,0.0957111152588975,0.00455439631107212,0.0232991357540997,0.08187743454043,0.0258076661462724,0.0031145593923608,0.317182970399456,0.0106816692922547,0.00463745810745095,0.00763122705892845,0.00432603071827443,0.00915251474441746
School of Arts and Sciences,Department of Philosophy and Religion,PHIL,0.0896913731596874,0.00494533391494328,0.0575016264094482,0.0310180748035915,0.0199554525257447,0.00317263460437901,0.408902436863151,0.0236800011642915,0.00419016838738685,0.0157673330672465,0.0167976366424096,0.00317263460437924,0.00418937186880111,0.00720851698650754,0.00428904618231016,0.0137346638195698,0.0596762171464765,0.024809139937032,0.116102800370341,0.091195537542303
School of Arts and Sciences,Department of Philosophy and Religion,RELG,0.148417299033817,0.0160469319234331,0.0992660627724285,0.0745712726495096,0.0309666710914879,0.00434982371068041,0.0904706537117584,0.0686699207973551,0.00583044357730314,0.0099202214382548,0.00525420561239711,0.00434982371068174,0.00492710786910343,0.0183219251952106,0.00625953716589953,0.00514587662257464,0.298563037301069,0.0060121898251931,0.0199645612543228,0.0826924347375201
School of Arts and Sciences,Department of Physics,PHYS,0.0248096557975567,0.005222743423085,0.0772677901025361,0.0704402745629236,0.034487811690322,0.00626537403496154,0.0102918831822905,0.0153072117364056,0.0903874536918555,0.00915524455738425,0.00344239655336996,0.014557363914635,0.0103503837227573,0.0138764099029509,0.00495459624521724,0.454265210534824,0.0556081790982071,0.0567929755643961,0.0138083844218236,0.0287086572624981
School of Arts and Sciences,Department of Psychology,PSYC,0.00959042272011371,0.0314363006025687,0.0521009729372573,0.0504719077316452,0.0475255433989853,0.0250071165049948,0.0428779386778358,0.00571866389832304,0.00960767270591268,0.00497673544408523,0.0129375221262649,0.00797309439236075,0.00573678348004189,0.00648816401134375,0.453248616750917,0.0211452824203657,0.0264719625156744,0.100996504891749,0.0715240133922041,0.0141647813973569
School of Arts and Sciences,Department of Sociology,SOCY,0.0647447190277927,0.01285870822524,0.0777127716478793,0.074542913665398,0.0316151600825225,0.0111570856558947,0.167579821899407,0.035334613209637,0.00993307541100786,0.0543174213270168,0.0107613275843111,0.00542392490855264,0.0103542313734377,0.0773088653537301,0.00751551641955945,0.0401751604020295,0.0304602248883606,0.104280692722824,0.155531635998738,0.0183921301966615
School of Arts and Sciences,Health Studies,HLTH,0.00643089294378334,0.0630443761910284,0.0487447089773085,0.288627969859164,0.0358795275381847,0.0155596500592273,0.0274168760790485,0.00275988404520292,0.0153396977721846,0.0243068791643942,0.0139235433428031,0.0337747694701046,0.0155896712976936,0.0303557710057924,0.22541630996244,0.0376288101010964,0.00359389732655323,0.0399765401507011,0.0656118242255545,0.00601840048773508
School of Arts and Sciences,Health Studies,HPRM,0.00490899133956687,0.054747765631663,0.0486041715502555,0.237832862829727,0.0426274538973571,0.0121163603626588,0.024899990285172,0.00447160241221059,0.0153413354481067,0.0150073449253504,0.00906931892898654,0.0424873493615452,0.0160656948322014,0.0239490323183932,0.288353853614496,0.0281873169529477,0.067453451382735,0.0402477581548812,0.0191567433595355,0.00447160241220979
School of Arts and Sciences,Jewish Studies Program,ISR,0.00748990845401031,0.00748990845400157,0.216289638766618,0.00748990845399715,0.0794865621518856,0.007489908454005,0.00748990845400952,0.225486753156246,0.00748990845399745,0.0161919690496215,0.00988298679234706,0.00748990845400165,0.00888107846034901,0.17593300818288,0.0074899084539988,0.00748990845399606,0.156949100805758,0.00748990845401923,0.0252580500506666,0.0107417680435923
School of Arts and Sciences,Jewish Studies Program,JWST,0.10733469853855,0.0157980892364897,0.441307076751669,0.0248102291847153,0.0481240235069772,0.00640422682336271,0.00640422682336673,0.112990423176774,0.00640422682335973,0.014383809294204,0.00640422682336435,0.00640422682336206,0.00640422682336207,0.0177133519501165,0.00640422682336015,0.00640422682335808,0.134045355191242,0.0178893299645235,0.00733550810151872,0.00703429051632419
School of Arts and Sciences,Public Health Program,PUBH,0.00658560835714272,0.0111232948757271,0.0496715814082843,0.381992222024242,0.0379511501481114,0.00658560835713932,0.0107607529995272,0.00658560835714216,0.00969594382290283,0.0113024959854464,0.0258434510952262,0.00658560835713935,0.00658560835714228,0.0106670381179389,0.0152118010775918,0.0618761139266596,0.128848529922072,0.0367931123040864,0.152981913944981,0.0223525565614971
