school,department,dept,year (fall),Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2022,0.00255581382497301,0.116475673089407,0.0472261944644184,0.00285214738956891,0.0338367677143585,0.0417250957721151,0.00192900609753868,0.00192900609753898,0.152929224762955,0.0101586135453109,0.00192900609754064,0.253824010215902,0.0274997529999739,0.00192900609753923,0.0382619810700293,0.0960253012758987,0.0019290060975383,0.013498517504819,0.0209698933869344,0.13251598249564
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2023,0.00217069109773818,0.116090550362172,0.0772189319695552,0.00246702466233041,0.0291829066981316,0.0413399730448803,0.00154388337030385,0.00154388337030416,0.134137434637049,0.00977349081807615,0.00154388337030523,0.253438887488662,0.0271146302727386,0.00154388337030446,0.0378768583427945,0.0956401785486639,0.00154388337030347,0.013113394777583,0.0205847706596996,0.132130859768404
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2024,0.00205845115836971,0.120933339387657,0.0768653756982725,0.00306324213035487,0.0294958400476647,0.0441803854321961,0.00151449228943803,0.00151449228943837,0.131655376001346,0.00940139268422677,0.00700033301457876,0.249176836363231,0.0128172845082079,0.00151449228943882,0.0378474672619288,0.102282009934404,0.00151449228943788,0.0139403192824913,0.0210066687899292,0.13221770914739
Kogod School of Business,Department of International Business,IBUS,2014,0.00553565468166108,0.225251513218586,0.046471993393982,0.007234998401509,0.0584321453887994,0.0676654057981475,0.00553565468165773,0.016186724325362,0.0163500784276551,0.199154216173575,0.027424101855351,0.0749196433034288,0.00640478063049261,0.0307067790646906,0.00970860860120508,0.00553565468165383,0.106535459452675,0.0301423629933836,0.012053833879156,0.0487503910470292
Kogod School of Business,Department of International Business,IBUS,2015,0.00537965242863233,0.215678085760444,0.0432358590890017,0.0070428398991216,0.0571506858866812,0.106090810858924,0.00537965242862868,0.0158041035692762,0.0159639820523702,0.180973933419331,0.0253062413198038,0.0732693951590589,0.00623028633599825,0.0273711567545567,0.0080315139196982,0.00665035161093151,0.111399135674179,0.0278990390089958,0.0150001493145697,0.0461431255097975
Kogod School of Business,Department of International Business,IBUS,2016,0.0052862191690807,0.221812705538639,0.0432780277399433,0.00949202931535046,0.0519346043296151,0.103733978751913,0.00528621916907725,0.0157660633635257,0.0156500419256572,0.182437190250339,0.024797670791686,0.0722431439041447,0.00611913153671007,0.0299018205604972,0.0078828335457493,0.00653044545174859,0.109096963180345,0.0267904968064823,0.0191827087186678,0.0427777059508281
Kogod School of Business,Department of International Business,IBUS,2017,0.00506726478689232,0.22881163184234,0.0434013653501739,0.00920822577621873,0.0441913204784027,0.104779660820747,0.00506726478689129,0.0158428382147709,0.0154310875434756,0.186437807969257,0.0235747494517117,0.071262824215273,0.00592739483861871,0.0295611400143276,0.00786167415730986,0.00631839810554028,0.108509086892023,0.025019836652597,0.0187459586670108,0.0449804694364188
Kogod School of Business,Department of International Business,IBUS,2018,0.00194650447287538,0.256711451421909,0.0464537807168257,0.0299242215624199,0.0475322786698954,0.140034907544201,0.00194650447287385,0.0148771925863295,0.0143830917807749,0.208560520641657,0.0265772887964462,0.0772585763830317,0.00294599931403831,0.0303105514300528,0.00267973969754628,0.00194650447287296,0.0339424455350365,0.0158454446487025,0.0164070085925348,0.0297159872599763
Kogod School of Business,Department of International Business,IBUS,2019,0.00304127913004586,0.25768687855861,0.0497724652709461,0.0306380122853874,0.039176925692501,0.146455987806719,0.00194291783457096,0.0152051620534995,0.0146983919965208,0.207068058075738,0.0272052607305426,0.0783185744972808,0.00296804074858578,0.031034248047062,0.00269495396244007,0.00194291783457013,0.0347592676419173,0.0161982410918311,0.0167742041111464,0.0224182126300851
Kogod School of Business,Department of International Business,IBUS,2020,0.00304127913004586,0.25768687855861,0.0497724652709461,0.0306380122853874,0.039176925692501,0.146455987806719,0.00194291783457096,0.0152051620534995,0.0146983919965208,0.207068058075738,0.0272052607305426,0.0783185744972808,0.00296804074858578,0.031034248047062,0.00269495396244007,0.00194291783457013,0.0347592676419173,0.0161982410918311,0.0167742041111464,0.0224182126300851
Kogod School of Business,Department of International Business,IBUS,2021,0.00316579846377294,0.25869388185452,0.052422994666343,0.0322542469248083,0.0403879471296987,0.156075705039198,0.00200806628746117,0.00200806628746318,0.0154530255392464,0.203619933086557,0.0286359412318635,0.0838808183702352,0.00310478368921259,0.0257763186565003,0.00280075301683682,0.00200806628746023,0.0347391621074808,0.0170734643125574,0.0185605414298183,0.0173304856189662
Kogod School of Business,Department of International Business,IBUS,2022,0.00712887275332741,0.253320311940357,0.0505578637268371,0.031443308183771,0.0393629636464268,0.15207987307764,0.0019930796684591,0.00199307966846003,0.0150842242030923,0.205858801607638,0.0282126693349312,0.0899595927987476,0.00306093608595375,0.0251358517119972,0.00285868940490479,0.00199307966845801,0.0338628308616363,0.0166620198507896,0.018109963359702,0.0213219884468717
Kogod School of Business,Department of International Business,IBUS,2023,0.00679277860657622,0.247314862633189,0.0729139711718828,0.0311072140370165,0.0339420952254142,0.151743778930888,0.00165698552170791,0.00165698552170888,0.0147481300563411,0.200306518238798,0.0278765751881793,0.0896234986519949,0.00272484193920241,0.0247997575652461,0.00252259525815362,0.00165698552170691,0.0335267367148852,0.0163259257040376,0.0177738692129509,0.0209858943001197
Kogod School of Business,Department of International Business,IBUS,2024,0.00679079753866688,0.24681382076073,0.0728427759589593,0.0311052329691063,0.033940114157505,0.1522740782082,0.00165500445379858,0.00165500445379954,0.0147461489884318,0.198608464331043,0.0278745941202699,0.088939991425754,0.00272286087129311,0.0247977764973368,0.00252061419024428,0.00410821941450457,0.0335247556469758,0.0163239446361289,0.0177718881450416,0.0209839132322104
Kogod School of Business,Department of Management,MGMT,2014,0.00572394519680052,0.425797832911982,0.0418183989002571,0.050148432517005,0.027413494185559,0.0306849213655479,0.00428694268898065,0.0100181698439888,0.0191193217081981,0.0603311190550491,0.00704259027030175,0.089718553479171,0.031311591286385,0.0386532999098586,0.00934985387093757,0.00853316731163856,0.0800207762922631,0.0104245015380213,0.0378902823729413,0.011712805295114
Kogod School of Business,Department of Management,MGMT,2015,0.00577620203922698,0.417611127285249,0.0398653210978757,0.0477986864471595,0.0261463642267343,0.0254291466807827,0.00412107708713602,0.00957938866333445,0.0182471523435337,0.0693235553979827,0.0056014277055322,0.0919735953138686,0.0303319419575659,0.0462838149774778,0.00894289726042856,0.0118170250372185,0.0762485376616908,0.00996637122907943,0.0338113925111759,0.0211249750769472
Kogod School of Business,Department of Management,MGMT,2016,0.00533998283521559,0.443167759192212,0.0392873462906065,0.0437084342250089,0.0239389226324463,0.0259892176740727,0.00382887785281275,0.00914510859815323,0.0170506825294281,0.076935595362296,0.00518050233047954,0.0856727679877423,0.0271200345968536,0.0421565531036851,0.0082314093153844,0.0108293891650625,0.0696843853339281,0.0115624850358823,0.0276695427307222,0.0235010032080077
